,date,negative_bert,neutral_bert,positive_bert,daily_tweets,MA7_Sentiment,MA20_Sentiment,MA50_Sentiment,BTC_price
0,2021-01-01,0.08332959545472414,0.49334708551839085,0.4233233189816092,12561.85950943881,,,,29374.15234375
1,2021-01-02,0.13453078802206891,0.4388113412543269,0.42665786975560893,30124.352144918405,,,,32127.267578125
2,2021-01-03,0.14780249539023713,0.4289302367882353,0.4232672694670956,26167.331282349067,,,,32782.0234375
3,2021-01-04,0.10415922059620375,0.5072739550321715,0.38856682513753354,18041.199084149866,,,,31971.9140625
4,2021-01-05,0.08174304309793334,0.5214636881555555,0.39679326517583335,17473.55156827832,,,,33992.4296875
5,2021-01-06,0.09398503338622172,0.48587157187990765,0.4201433973325635,21015.48558076281,,,,36824.36328125
6,2021-01-07,0.09312802065458381,0.4878299970122411,0.41904198353483996,25671.66024728629,,,,39371.04296875
7,2021-01-08,0.1085217206129814,0.4468888773836777,0.44458940121425616,23346.012253408986,0.41779791632491753,,,40797.609375
8,2021-01-09,0.08061704620118568,0.47273980337055704,0.44664314681803713,18263.18830142834,0.42071289480447105,,,40254.546875
9,2021-01-10,0.08752342170418208,0.48851707036417913,0.4239595094349254,16174.363986471872,0.4203755997643856,,,38356.44140625
10,2021-01-11,0.14784030058348677,0.49524932389065257,0.356910373870194,27333.491470166664,0.41208098781477287,,,35566.65625
11,2021-01-12,0.10402387008481236,0.5161167667684086,0.3798593649346793,20311.306812538023,0.41099255528941614,,,33922.9609375
12,2021-01-13,0.09324115874554109,0.5089508555022831,0.39780798725159816,21169.833913276558,0.4111193955488867,,,37316.359375
13,2021-01-14,0.08956508689348053,0.5025656003484849,0.4078693129491342,22370.737791962918,0.409585135000958,,,39187.328125
14,2021-01-15,0.08563222435191489,0.5282718738571429,0.38609589725045595,16068.862791926722,0.40546687421541006,,,36825.3671875
15,2021-01-16,0.09833906452924379,0.524302619838843,0.377358311807438,11786.020984665052,0.39706298803955775,,,36178.140625
16,2021-01-17,0.10311105671707925,0.4920401122641509,0.40484883164377355,13117.685927620345,0.3918386986427748,,,35791.27734375
17,2021-01-18,0.0862963396881677,0.5216672393385093,0.39203642188571425,15611.82483626557,0.38784831269912345,,,36630.07421875
18,2021-01-19,0.06621218630051603,0.5248079985106952,0.4089798140256684,18427.40644721412,0.39435699271855773,,,36069.8046875
19,2021-01-20,0.09193833130733557,0.5134019606778524,0.39465970834060404,14461.825462036082,0.39620703564429827,,,35547.75
20,2021-01-21,0.10966793816533162,0.532190831246114,0.3581412281971503,18655.71180507088,0.3912486907624923,0.4036930113813673,,30825.69921875
21,2021-01-22,0.07721568387938753,0.5224747756276422,0.4003095398861789,17962.860405813426,0.3903037191296229,0.40259711713872776,,33005.76171875
22,2021-01-23,0.09411678569612932,0.5245715463922414,0.3813116641853448,11507.310083342698,0.38970568999648403,0.4004377740163343,,32067.642578125
23,2021-01-24,0.09431287079032204,0.537581583806356,0.3681055481838983,11618.690364060094,0.3885490945435416,0.39781102538380103,,32289.37890625
24,2021-01-25,0.08668946038093295,0.5241793799795917,0.3891311576749271,16584.693923571704,0.3865843852974358,0.39783789836177214,,32366.392578125
25,2021-01-26,0.08890475051642623,0.5080328206516393,0.4030624282979508,11853.255021533272,0.38796263609896536,0.39813642993901577,,32569.849609375
26,2021-01-27,0.12037663524579226,0.5183478485352113,0.3612755120890845,14271.580813552644,0.38199959835689234,0.39533319730837396,,30432.546875
